Rank,Location,totalCases,Deaths,Recoveries,References,Population,Age,GDP,CaseScaled,DeathScaled,Parent
127,Cape Verde,"24,368",223,"20,899",[188],"543,767",,,4,4.101021209,World
128,Gabon,"23,075",139,"19,629",[189],"2,119,275",,,1,0.655884678,World
129,Guinea,"22,333",146,"19,813",[190],"12,414,293",,,0,0.117606375,World
130,Syria,"22,265","1,548","16,097",[191],"17,500,657",,,0,0.88453822,World
131,French Polynesia,"18,758",141,"4,842",[192],"275,918",,,7,5.110213904,World
132,Eswatini,"18,458",671,"17,748",[193],"1,136,281",,,2,5.905229428,World
133,Mauritania,"18,448",455,"17,725",[194][195],"4,403,313",,,0,1.033312871,World
134,Cambodia,"15,361",106,"5,430",[196],"15,552,211",,,0,0.068157511,World
135,Abkhazia,"14,557",222,"13,623",[197],"245,246",,,6,9.052135407,World
136,Mali,"13,915",489,"8,733",[198],"20,250,833",,,0,0.241471548,World
137,Tajikistan,"13,714",91,"13,218",[199][200],"9,537,645",,,0,0.095411393,World
138,Somalia,"13,670",698,"5,539",[201],"15,893,219",,,0,0.439181012,World
139,Burkina Faso,"13,324",157,"13,067",[202][203],"21,510,181",,,0,0.072988693,World
140,Guyana,"13,283",296,"11,208",[204],"743,700",,,2,3.980099502,World
141,Andorra,"13,282",127,"12,753",[205],"77,543",,,17,16.37800962,World
142,Haiti,"13,094",254,"12,148",[206],"11,439,646",,,0,0.222034843,World
143,Togo,"13,010",123,"11,269",[207],"8,608,444",,,0,0.142882965,World
144,Belize,"12,668",323,"12,218",[208],"419,199",,,3,7.705171052,World
145,Curacao,"12,210",111,"11,711",[209],"163,424",,,7,6.792148032,World
146,Hong Kong,"11,787",210,"11,445",[210],"7,500,700",,,0,0.279973869,World
147,Trinidad and Tobago,"11,313",174,"8,633",[211][212],"1,366,725",,,1,1.273116391,World
148,Papua New Guinea,"11,206",115,"9,475",[213],"8,935,000",,,0,0.128707331,World
149,Djibouti,"11,157",146,"10,816",[214],"921,804",,,1,1.583850797,World
150,Lesotho,"10,733",318,"6,267",[215],"2,108,328",,,1,1.508304211,World
151,Congo,"10,678",144,"8,208",[216][217],"5,244,359",,,0,0.274580745,World
152,Aruba,"10,650",99,"10,402",[218],"116,576",,,9,8.492314027,World
153,South Sudan,"10,602",115,"10,312",[219],"12,778,250",,,0,0.089996674,World
154,Suriname,"10,489",207,"9,414",[220],"575,990",,,2,3.593812393,World
155,Bahamas,"10,453",199,"9,494",[221],"385,637",,,3,5.160293229,World
156,Guam,"7,989",136,"7,758",[9][222],"168,801",,,5,8.056824308,World
157,Benin,"7,821",99,"7,580",[223],"11,733,059",,,0,0.084376973,World
158,Equatorial Guinea,"7,694",112,"7,279",[224],"1,454,789",,,1,0.769871095,World
159,Nicaragua,"6,898",182,No data,[225],6486201,,,0,0.280595683,World
